Finished Step 0050 | Learning Rate: 0.000167 | Train Loss: 3.7140 | Validation Loss: 3.4883
Finished Step 0100 | Learning Rate: 0.000333 | Train Loss: 3.3811 | Validation Loss: 3.3000
Finished Step 0150 | Learning Rate: 0.000500 | Train Loss: 2.9845 | Validation Loss: 2.7061
Finished Step 0200 | Learning Rate: 0.000667 | Train Loss: 2.6412 | Validation Loss: 2.5509
Finished Step 0250 | Learning Rate: 0.000833 | Train Loss: 2.5377 | Validation Loss: 2.4777
Finished Step 0300 | Learning Rate: 0.001000 | Train Loss: 2.4769 | Validation Loss: 2.4091
Finished Step 0350 | Learning Rate: 0.001000 | Train Loss: 2.4092 | Validation Loss: 2.3303
Finished Step 0400 | Learning Rate: 0.001000 | Train Loss: 2.3285 | Validation Loss: 2.2339
Finished Step 0450 | Learning Rate: 0.001000 | Train Loss: 2.2399 | Validation Loss: 2.1571
Finished Step 0500 | Learning Rate: 0.000999 | Train Loss: 2.1705 | Validation Loss: 2.0983
Finished Step 0550 | Learning Rate: 0.000999 | Train Loss: 2.1019 | Validation Loss: 2.0325
Finished Step 0600 | Learning Rate: 0.000998 | Train Loss: 2.0404 | Validation Loss: 1.9977
Finished Step 0650 | Learning Rate: 0.000997 | Train Loss: 1.9868 | Validation Loss: 1.9657
Finished Step 0700 | Learning Rate: 0.000997 | Train Loss: 1.9343 | Validation Loss: 1.9417
Finished Step 0750 | Learning Rate: 0.000996 | Train Loss: 1.8948 | Validation Loss: 1.9124
Finished Step 0800 | Learning Rate: 0.000995 | Train Loss: 1.8594 | Validation Loss: 1.8843
Finished Step 0850 | Learning Rate: 0.000994 | Train Loss: 1.8244 | Validation Loss: 1.8525
Finished Step 0900 | Learning Rate: 0.000992 | Train Loss: 1.7874 | Validation Loss: 1.8365
Finished Step 0950 | Learning Rate: 0.000991 | Train Loss: 1.7656 | Validation Loss: 1.8285
Finished Step 1000 | Learning Rate: 0.000990 | Train Loss: 1.7444 | Validation Loss: 1.7835
Finished Step 1050 | Learning Rate: 0.000988 | Train Loss: 1.7231 | Validation Loss: 1.7637
Finished Step 1100 | Learning Rate: 0.000987 | Train Loss: 1.7074 | Validation Loss: 1.7282
Finished Step 1150 | Learning Rate: 0.000985 | Train Loss: 1.6893 | Validation Loss: 1.7476
Finished Step 1200 | Learning Rate: 0.000983 | Train Loss: 1.6731 | Validation Loss: 1.7474
Finished Step 1250 | Learning Rate: 0.000981 | Train Loss: 1.6598 | Validation Loss: 1.7374
Finished Step 1300 | Learning Rate: 0.000979 | Train Loss: 1.6423 | Validation Loss: 1.7103
Finished Step 1350 | Learning Rate: 0.000977 | Train Loss: 1.6280 | Validation Loss: 1.7031
Finished Step 1400 | Learning Rate: 0.000975 | Train Loss: 1.6263 | Validation Loss: 1.7084
Finished Step 1450 | Learning Rate: 0.000973 | Train Loss: 1.6152 | Validation Loss: 1.6998
Finished Step 1500 | Learning Rate: 0.000970 | Train Loss: 1.6052 | Validation Loss: 1.7027
